ano,mes,tentesp,zeuro,euribor,mibor,irs,deuda,bancos,cajas,ceca,ahe,ced
2001,Nov,"5,190",-,"3,198","3,196",-,"4,243","5,009","5,372","6,125",-,"4,642"
2001,Dic,"4,852",-,"3,298","3,286",-,"4,159","4,685","5,027","5,750","3,750","3,950"
2002,Ene,"4,737",-,"3,483","3,475",-,"4,090","4,562","4,912","6,000",-,"3,950"
2002,Feb,"4,768",-,"3,594","3,581",-,"4,065","4,650","4,887","5,875",-,"4,579"
2002,Mar,"4,785",-,"3,816","3,799",-,"4,131","4,695","4,874","5,875","3,750","4,870"
2002,Abr,"4,860",-,"3,860","3,857",-,"4,247","4,799","4,919","5,750",-,"5,459"
2002,May,"4,985",-,"3,963","3,948",-,"4,401","4,917","5,052","6,000",-,"5,459"
2002,Jun,"4,995",-,"3,869","3,862",-,"4,453","4,925","5,062","6,000","4,000","5,459"
2002,Jul,"5,009",-,"3,645","3,643",-,"4,448","4,916","5,100","5,875",-,"5,459"
2002,Ago,"4,999",-,"3,440","3,437",-,"4,360","4,883","5,103","6,000",-,"5,773"
2002,Sep,"4,818",-,"3,236","3,241",-,"4,203","4,698","4,925","6,125","3,750","4,125"
2002,Oct,"4,690",-,"3,126","3,127",-,"4,027","4,542","4,815","5,750",-,"4,300"
2002,Nov,"4,517",-,"3,017","3,020",-,"3,857","4,408","4,609","5,750",-,"4,333"
2002,Dic,"4,380",-,"2,872","2,878",-,"3,703","4,253","4,490","5,500","3,250","4,333"
2003,Ene,"4,252",-,"2,705","2,703",-,"3,520","4,190","4,307","5,625",-,"4,313"
2003,Feb,"4,146",-,"2,504","2,513",-,"3,364","4,053","4,225","5,375",-,"4,172"
2003,Mar,"3,976",-,"2,411","2,420",-,"3,242","3,878","4,068","5,250","3,000","3,988"
2003,Abr,"3,886",-,"2,447","2,458",-,"3,144","3,825","3,941","5,125",-,"3,913"
2003,May,"3,823",-,"2,252","2,253",-,"2,990","3,764","3,876","5,125",-,"3,889"
2003,Jun,"3,707",-,"2,014","2,033",-,"2,822","3,617","3,787","4,875","2,500","3,889"
2003,Jul,"3,541",-,"2,076","2,082",-,"2,745","3,457","3,619","4,750",-,"3,742"
2003,Ago,"3,470",-,"2,279","2,279",-,"2,777","3,381","3,548","5,000",-,"3,865"
2003,Sep,"3,428",-,"2,258","2,263",-,"2,803","3,335","3,518","5,000","2,250","4,227"
2003,Oct,"3,442",-,"2,303","2,299",-,"2,822","3,343","3,532","4,875",-,"4,131"
2003,Nov,"3,432",-,"2,410","2,409",-,"2,904","3,310","3,539","4,875",-,"4,091"
2003,Dic,"3,458",-,"2,381","2,383",-,"3,023","3,374","3,533","4,625","2,250","4,018"
2004,Ene,"3,475",-,"2,216","2,220",-,"3,096","3,358","3,572","5,000",-,"4,022"
2004,Feb,"3,446",-,"2,163","2,166",-,"3,107","3,342","3,533","4,875",-,"3,973"
2004,Mar,"3,358",-,"2,055","2,056",-,"3,082","3,241","3,460","4,625","2,250","3,784"
2004,Abr,"3,279",-,"2,163","2,164",-,"3,086","3,165","3,384","4,625",-,"3,672"
2004,May,"3,255",-,"2,297","2,297",-,"3,086","3,144","3,351","4,750",-,"3,668"
2004,Jun,"3,307",-,"2,404","2,405",-,"3,127","3,245","3,362","4,625","2,250","3,657"
2004,Jul,"3,323",-,"2,361","2,367",-,"3,153","3,252","3,388","4,625",-,"3,841"
2004,Ago,"3,392",-,"2,302","2,305",-,"3,142","3,335","3,441","4,875",-,"3,859"
2004,Sep,"3,367",-,"2,377","2,377",-,"3,169","3,286","3,436","4,750","2,250","4,301"
2004,Oct,"3,332",-,"2,316","2,317",-,"3,136","3,235","3,419","4,750",-,"4,301"
2004,Nov,"3,383",-,"2,328","2,330",-,"3,076","3,314","3,445","4,625",-,"3,927"
2004,Dic,"3,349",-,"2,301","2,306",-,"2,966","3,265","3,424","4,375","2,250","3,926"
2005,Ene,"3,334",-,"2,312","2,314",-,"2,892","3,236","3,422","4,500",-,"3,477"
2005,Feb,"3,332",-,"2,310","2,308",-,"2,835","3,234","3,416","4,500",-,"3,597"
2005,Mar,"3,343",-,"2,335","2,333",-,"2,800","3,265","3,411","4,375","2,250","3,534"
2005,Abr,"3,325",-,"2,265","2,270",-,"2,773","3,215","3,419","4,375",-,"3,534"
2005,May,"3,318",-,"2,193","2,195",-,"2,727","3,203","3,417","4,500",-,"3,661"
2005,Jun,"3,270",-,"2,103","2,105",-,"2,665","3,164","3,365","4,375","2,250","3,609"
2005,Jul,"3,196",-,"2,168","2,167",-,"2,605","3,064","3,312","4,500",-,"3,625"
2005,Ago,"3,190",-,"2,223","2,225",-,"2,577","3,072","3,293","4,625",-,"3,450"
2005,Sep,"3,197",-,"2,220","2,223",-,"2,518","3,087","3,292","4,500","2,250","3,250"
2005,Oct,"3,225",-,"2,414","2,415",-,"2,511","3,125","3,313","4,500",-,"3,250"
2005,Nov,"3,264",-,"2,684","2,679",-,"2,583","3,173","3,342","4,500",-,"3,224"
2005,Dic,"3,404",-,"2,783","2,780",-,"2,687","3,330","3,471","4,500","2,500","2,150"
2006,Ene,"3,591",-,"2,833","2,824",-,"2,781","3,520","3,651","4,750",-,"2,150"
2006,Feb,"3,701",-,"2,914","2,914",-,"2,877","3,642","3,751","4,750",-,"2,150"
2006,Mar,"3,756",-,"3,105","3,106",-,"3,032","3,682","3,821","4,750","2,750","3,473"
2006,Abr,"3,852",-,"3,221","3,219",-,"3,161","3,758","3,938","4,875",-,"3,369"
2006,May,"4,048",-,"3,308","3,306",-,"3,262","4,002","4,088","4,875",-,"3,389"
2006,Jun,"4,132",-,"3,401","3,399",-,"3,374","4,005","4,200","4,875","3,250","3,433"
2006,Jul,"4,229",-,"3,539","3,533",-,"3,496","4,163","4,287","5,125",-,"3,575"
2006,Ago,"4,355",-,"3,615","3,614",-,"3,582","4,320","4,386","5,375",-,"3,575"
2006,Sep,"4,451",-,"3,715","3,709",-,"3,630","4,377","4,515","5,250","3,500","3,552"
2006,Oct,"4,562",-,"3,799","3,791",-,"3,650","4,521","4,598","5,250",-,"4,119"
2006,Nov,"4,645",-,"3,864","3,858",-,"3,666","4,622","4,664","5,250",-,"4,119"
2006,Dic,"4,753",-,"3,921","3,915",-,"3,682","4,738","4,765","5,125","3,750","4,168"
2007,Ene,"4,811",-,"4,064","4,052",-,"3,727","4,780","4,837","5,375",-,"3,763"
2007,Feb,"4,890",-,"4,094","4,093",-,"3,786","4,854","4,920","5,500",-,"3,763"
2007,Mar,"4,975",-,"4,106","4,104",-,"3,836","4,943","5,001","5,500","4,000","3,972"
2007,Abr,"5,008",-,"4,253","4,248",-,"3,907","4,950","5,060","5,500",-,"3,700"
2007,May,"5,092",-,"4,373","4,370",-,"4,013","5,054","5,124","5,625",-,"3,848"
2007,Jun,"5,190",-,"4,505","4,498",-,"4,139","5,135","5,238","5,625","4,250","4,289"
2007,Jul,"5,326",-,"4,564","4,563",-,"4,236","5,283","5,362","5,750",-,"4,520"
2007,Ago,"5,422",-,"4,666","4,670",-,"4,270","5,381","5,457","6,000",-,"4,520"
2007,Sep,"5,497",-,"4,725","4,725",-,"4,309","5,466","5,522","6,000","4,500","4,520"
2007,Oct,"5,551",-,"4,647","4,639",-,"4,309","5,534","5,566","6,125",-,"4,520"
2007,Nov,"5,585",-,"4,607","4,596",-,"4,254","5,539","5,624","6,125",-,"4,855"
2007,Dic,"5,562",-,"4,793","4,779",-,"4,181","5,515","5,603","6,125","4,500","4,867"
2008,Ene,"5,611",-,"4,498","4,504",-,"4,058","5,596","5,625","6,250",-,"4,901"
2008,Feb,"5,582",-,"4,349","4,342",-,"3,943","5,518","5,639","6,250",-,"4,674"
2008,Mar,"5,404",-,"4,590","4,581",-,"3,860","5,313","5,487","6,125","4,500","4,625"
2008,Abr,"5,418",-,"4,820","4,805",-,"3,823","5,380","5,451","6,125",-,"4,724"
2008,May,"5,587",-,"4,994","4,976",-,"3,859","5,533","5,634","6,250",-,"4,733"
2008,Jun,"5,794",-,"5,361","5,338",-,"3,975","5,777","5,808","6,375","4,750","4,725"
2008,Jul,"6,006",-,"5,393","5,361",-,"4,130","5,960","6,044","6,500",-,"4,745"
2008,Ago,"6,218",-,"5,323","5,292",-,"4,249","6,150","6,275","6,875",-,"4,793"
2008,Sep,"6,265",-,"5,384","5,334",-,"4,341","6,176","6,338","6,875","5,250","4,847"
2008,Oct,"6,253",-,"5,248","5,277",-,"4,315","6,159","6,331","7,000",-,"5,405"
2008,Nov,"6,258",-,"4,350","4,424",-,"4,190","6,166","6,341","7,000",-,"5,392"
2008,Dic,"5,891",-,"3,452","3,455",-,"3,960","5,635","6,084","6,625","5,000","5,983"
2009,Ene,"4,983",-,"2,622","2,625",-,"3,682","4,684","5,203","6,125",-,"6,284"
2009,Feb,"4,324",-,"2,135","2,134",-,"3,464","4,120","4,492","5,625",-,"3,841"
2009,Mar,"3,821",-,"1,909","1,908",-,"3,202","3,581","3,997","5,125","2,500","3,818"
2009,Abr,"3,573",-,"1,771","1,771",-,"2,980","3,355","3,743","5,000",-,"3,816"
2009,May,"3,411",-,"1,644","1,644",-,"2,832","3,154","3,616","4,875",-,"3,816"
2009,Jun,"3,294",-,"1,610","1,610",-,"2,748","3,010","3,496","4,750","2,250","3,775"
2009,Jul,"3,187",-,"1,412","1,412",-,"2,663","2,945","3,375","4,875",-,"3,500"
2009,Ago,"3,084",-,"1,334","1,334",-,"2,572","2,811","3,290","4,875",-,"3,500"
2009,Sep,"2,990",-,"1,261","1,261",-,"2,496","2,632","3,260","4,875","1,750","2,349"
